"filename", "language", "Objective-C", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\vi_ah\OneDrive - TUNI.fi\Opiskelut\D-työ\matlab\EEG_validator_git\eeg-validator-calculator\Algorithms\AlgChannelValidator.m", "Objective-C", 21, 0, 0, 0, 3, 24
"c:\Users\vi_ah\OneDrive - TUNI.fi\Opiskelut\D-työ\matlab\EEG_validator_git\eeg-validator-calculator\Algorithms\AlgCliCalculator.m", "Objective-C", 51, 0, 0, 0, 8, 59
"c:\Users\vi_ah\OneDrive - TUNI.fi\Opiskelut\D-työ\matlab\EEG_validator_git\eeg-validator-calculator\Algorithms\AlgMscCalculator.m", "Objective-C", 64, 0, 0, 0, 13, 77
"c:\Users\vi_ah\OneDrive - TUNI.fi\Opiskelut\D-työ\matlab\EEG_validator_git\eeg-validator-calculator\Algorithms\AlgPsdCalculator.m", "Objective-C", 37, 0, 0, 0, 5, 42
"c:\Users\vi_ah\OneDrive - TUNI.fi\Opiskelut\D-työ\matlab\EEG_validator_git\eeg-validator-calculator\Algorithms\AlgWaveletCleaner.m", "Objective-C", 64, 0, 0, 0, 13, 77
"c:\Users\vi_ah\OneDrive - TUNI.fi\Opiskelut\D-työ\matlab\EEG_validator_git\eeg-validator-calculator\Algorithms\CalculationAlgorithm.m", "Objective-C", 13, 0, 0, 0, 1, 14
"c:\Users\vi_ah\OneDrive - TUNI.fi\Opiskelut\D-työ\matlab\EEG_validator_git\eeg-validator-calculator\Algorithms\ChannelValidationAlgorithm.m", "Objective-C", 9, 0, 0, 0, 1, 10
"c:\Users\vi_ah\OneDrive - TUNI.fi\Opiskelut\D-työ\matlab\EEG_validator_git\eeg-validator-calculator\Algorithms\CleaningAlgorithm.m", "Objective-C", 10, 0, 0, 0, 1, 11
"c:\Users\vi_ah\OneDrive - TUNI.fi\Opiskelut\D-työ\matlab\EEG_validator_git\eeg-validator-calculator\Domain\Channel.m", "Objective-C", 154, 0, 0, 0, 33, 187
"c:\Users\vi_ah\OneDrive - TUNI.fi\Opiskelut\D-työ\matlab\EEG_validator_git\eeg-validator-calculator\Domain\ChannelCleaner.m", "Objective-C", 24, 0, 0, 0, 4, 28
